RegistrationID,Name,Location,Specialization
AP/2009/0011844,Dedication Social Service Society,Andhra Pradesh, Rural Development & Health
AP/2024/0389483,Abyudaya Wood Carving Artisans Society,Andhra Pradesh, Skill Development & Artisans
AP/2018/0191478,Adarsha Women Development Society,Andhra Pradesh,Women's Empowerment & Microfinance
AP/2018/0187707,Assn for Welfare Active Rural Development,Andhra Pradesh,Rural Poverty Alleviation & Infrastructure
AP/2017/0161279,Balajyothi Rural Development Society,Andhra Pradesh,Child Welfare & Rural Education
AP/2009/0023165,Chaitanya Bharathi,Andhra Pradesh, Culture & Youth Affairs
AP/2009/0011621,Chaitanya Jyothi Welfare Society,Andhra Pradesh,Social Welfare & Community Health
AP/2017/0167822,Child Care Organisation,Andhra Pradesh,Child Rights
ap/2021/0272515,Chithrakari,Andhra Pradesh,Art & Culture Preservation
AP/2017/0159918,Coastal Voluntary Network,Andhra Pradesh,Disaster Management & Coastal Ecology
AP/2022/0309032,CSMR Consultancy Services Pvt Ltd,Andhra Pradesh,Consultancy for Social Sector & CSR
AP/2017/0165226,Gamana,Andhra Pradesh,Social Development & Advocacy
AP/2016/0104144,Gayathri Educational Society,Andhra Pradesh,Education & Literacy
AP/2014/0074653,India Evangelical Rural Development,Andhra Pradesh, Education & Religious Charity
AP/2016/0112910,Kalasrusti,Andhra Pradesh, Culture & Traditional Crafts
AP/2017/0158091,Manya Seema Voluntary Organisation,Andhra Pradesh,Tribal Welfare & Forest Rights
AP/2017/0174509,Minaakshi Arts and Crafts Welfare Society,Andhra Pradesh,Livelihood via Arts & Crafts
Ap/2016/0105042,Model Org for Oppressed and Neglected,Andhra Pradesh,Dalit Upliftment & Social Justice
AP/2019/0246145,Oxygen Association,Andhra Pradesh,Environmental Health & Pollution Control
AP/2009/0018356,PACE Organization,Andhra Pradesh,Community Emancipation & Rights
AP/2017/0118061,Rural and Environment Development Society,Andhra Pradesh,Environment Protection & Rural Dev
AP/2017/0169127,Rural Development Welfare Society,Andhra Pradesh,Rural Infrastructure & Water
AP/2009/0018784,REACH (Rural Edu & Action for Change),Andhra Pradesh,Education & Social Change
AP/2014/0072088,Sai Likitha Educational Development Society,Andhra Pradesh,Literacy & Vocational Training
AP/2016/0105381,Sai Venkata Narayana Society,Andhra Pradesh,Social Welfare & Senior Citizens
S-55381,Green Earth Development Foundation,Delhi (Shakarpur), Health & HIV/AIDS
Reg: 2088,Green Earth Patron Foundation,Delhi (Dwarka),Women's Empowerment & Sustainable Agriculture
S/69453,Green Globe Organisation,Delhi (Laxmi Nagar),Civic Issues & Urban Governance
S/3564,Green Hands,Delhi (Ashok Vihar), Minority Issues & Urban Poverty
Reg: 1073,Green Indus Plus Health Foundation,New Delhi (Kalkaji),Health & Family Welfare
S-29714,Green Institute for Research & Dev,New Delhi (South Ext),Research
S/58504/2007,Green Life Integrated Therapy Society,Delhi (Nehru Place),Child Rights & Dalit Upliftment
DL62811528668882T,Green Park Free Church,New Delhi (Green Park),Religious Charity & Social Service
S/00653NE/2012,Green Society of India,Delhi (Gamri),Environment & Forests
1451/4,Green The Earth,New Delhi (Mehrauli),Renewable Energy & Water Resources
544 (Vol 180),Green Watch,Delhi (Shakarpur),Land Resources & Drinking Water
Reg: 5258,Greenindiafoundation,New Delhi (Hauz Khas),Environment & Water Resources
U93000DL2013NPL,Greenlco Eco Foundation,New Delhi (Dwarka),Environment Protection & Waste Mgmt
U85320DL2019NPL,Greenthusiast Foundation,New Delhi (Sadh Nagar),Urban Ecology & Awareness
U80211DL2017NPL,Greenworld Education and Research,Delhi (Keshav Puram),Education Policy & Research
S-67831,GRIHA Council,New Delhi (Vasant Kunj),Renewable Energy & Green Buildings
U74999DL2019PTC,Grintack Interactive Solutions Pvt Ltd,Delhi (Pandav Nagar),ICT for Development & Social Innovation
Reg: 1348,Group of Intellectuals and Academicians,New Delhi (Malviya Nagar),Women's Development & Policy Advocacy
53230 of 2005,Groupious Social Welfare Society,New Delhi,Youth Affairs
U85300DL2019NPL,Growth Helpline Foundation,South West Delhi,Education & Literacy
U80903DL2013PTC,GS Mentors Eduservices Private Limited,Delhi (Mukherjee Nagar),Education (Competitive Exams for Underprivileged)
DL/2016/0111595,Guru Gyan Singh Education Society,New Delhi,Aged/Elderly Care & Vocational Training
FCRA-010230506R,Action Ministries,Hyderabad/Delhi (FCRA),Religious (Christian) & Educational
AN/2017/0153504,Vidya Yuvakendra Foundation,Andaman/National,Youth Welfare & Skill Development
DL/2017/0116079,Antyodoy Orphanage Home,West Bengal/Delhi Reg,Orphanage & Vocational Training
Reg: Ramanand Memorial,Ramanand Memorial Sewa Samiti,Araria (Bihar),Social Service & Rural Dev
Reg: Dawatul Quran,Dawatul Quran Educational & Welfare Trust,Araria (Bihar),Minority Education & Welfare
Reg: Fight for Right,Fight For Right Association,Madanpur (Bihar),Human Rights & Advocacy
Reg: Xavier Foundation,Xavier Foundation,Forbesganj (Bihar),Education & Community Health
Reg: Maati,Maati,Forbesganj (Bihar),Rural Livelihoods & Art
Reg: Bharti Sewa,Bharti Sewa Sadan Trust,Araria (Bihar),Community Health & Hygiene
Reg: Sanobar Alam,Sanobar Alam Education Trust,Forbesganj (Bihar),Education & Literacy
Reg: Bhardwaj Sewa,Bhardwaj Sewa Kendra,Forbesganj (Bihar),Social Welfare
Reg: Shadi Education,Shadi Education Welfare Trust,Araria (Bihar),Education & Welfare
Reg: Mohammadi Markazi,Mohammadi Markazi Educational Trust,Araria (Bihar),Minority Welfare & Education
Reg: Gramin Bal,Gramin Bal Evam Manav Vikas Samiti,Araria (Bihar),Child Development & Rights
Reg: Renu Sanskritik,Renu Sanskritik Manch,Araria (Bihar),Culture
Reg: Faid,Faid Society,Bihar,Social Service
Reg: Parivartan Sewa,Parivartan Sewa Sansthan,Arwal (Bihar),Rural Change & Development
Reg: Arwal Welfare,Arwal Welfare and Development Society,Arwal (Bihar),Integrated Development
Reg: Vishwa Bandhu,Vishwa Bandhu Samajik Vikas Kendra,Arwal (Bihar),Social Cohesion & Welfare
Reg: Multi Services,Multi Services Foundation,Arwal (Bihar),Service Delivery
Reg: Krishnanacharya,Krishnanacharya Eduventure Pvt Ltd,Arwal (Bihar),Education Innovation
Reg: Karpi Gramin,Karpi Gramin Samanway Samiti,Arwal (Bihar),Village Coordination & Governance
Reg: Sampuran Dalit,Sampuran Dalit Vikas Foundation,Arwal (Bihar),Dalit Rights & Upliftment
Reg: Ramsheela Devi,Ramsheela Devi Samajik Sansthan,Arwal (Bihar),Women & Child Welfare
Reg: Anand Education,Anand Educational and Social Welfare Trust,Arwal (Bihar),Education
S0125499,Antyodoy Anath Ashram,Purba Medinipur (WB),Orphanage & Primary School
S/52811,Society For Equitable Voluntary Actions (SEVA),North 24 Parganas (WB),Agriculture & Women's Empowerment
